DATASET = ORTEC Early VeRoLog 2019 - easy
NAME = Instance 8 easy

DAYS = 35
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1035

TRUCK_DISTANCE_COST = 100000
TRUCK_DAY_COST = 10000
TRUCK_COST = 10000
TECHNICIAN_DISTANCE_COST = 10000
TECHNICIAN_DAY_COST = 10
TECHNICIAN_COST = 1000

MACHINES = 5
	1	5	870
	2	4	745
	3	3	400
	4	5	290
	5	4	690

LOCATIONS = 115
	1	388	389
	2	369	310
	3	497	320
	4	436	186
	5	435	192
	6	228	349
	7	574	347
	8	382	403
	9	159	356
	10	386	230
	11	432	191
	12	291	236
	13	354	370
	14	609	749
	15	443	192
	16	391	305
	17	403	409
	18	388	404
	19	367	274
	20	195	356
	21	604	349
	22	315	468
	23	226	409
	24	676	403
	25	249	391
	26	542	346
	27	181	379
	28	197	194
	29	224	225
	30	190	380
	31	305	388
	32	189	381
	33	98	188
	34	286	366
	35	230	324
	36	539	358
	37	292	526
	38	547	726
	39	494	192
	40	406	296
	41	542	420
	42	179	322
	43	287	466
	44	564	510
	45	301	473
	46	224	350
	47	267	474
	48	393	281
	49	361	391
	50	523	135
	51	186	379
	52	108	270
	53	509	30
	54	298	241
	55	212	323
	56	522	364
	57	349	514
	58	228	350
	59	515	673
	60	535	759
	61	372	238
	62	267	407
	63	240	241
	64	743	594
	65	292	554
	66	359	231
	67	301	236
	68	619	555
	69	259	442
	70	563	152
	71	457	395
	72	357	367
	73	81	234
	74	523	134
	75	543	37
	76	186	375
	77	505	610
	78	620	422
	79	390	303
	80	76	240
	81	737	436
	82	298	509
	83	192	215
	84	540	357
	85	660	726
	86	194	389
	87	106	153
	88	669	339
	89	265	516
	90	685	611
	91	314	472
	92	209	301
	93	579	798
	94	675	661
	95	255	338
	96	416	233
	97	263	426
	98	203	390
	99	353	253
	100	456	365
	101	691	711
	102	234	373
	103	248	305
	104	193	194
	105	346	351
	106	241	349
	107	524	373
	108	363	339
