DATASET = ORTEC Late VeRoLog 2019
NAME = Instance 12

DAYS = 25
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1615

TRUCK_DISTANCE_COST = 1000
TRUCK_DAY_COST = 10000
TRUCK_COST = 1000
TECHNICIAN_DISTANCE_COST = 10000
TECHNICIAN_DAY_COST = 100
TECHNICIAN_COST = 100

MACHINES = 4
    1     3   615
    2     8   825
    3     8   965
    4     6   145

LOCATIONS = 411
    1   738   594
    2   530   309
    3   267   466
    4   293   466
    5   474   652
    6   313   478
    7   568   512
    8   538   563
    9   579   592
   10   666   434
   11   243   326
   12   373   372
   13   516   746
   14   569   677
   15   636   611
   16   264   376
   17   193   374
   18   319   479
   19   304   477
   20   284   639
   21   586   712
   22   521   357
   23    36   209
   24   243   418
   25    49   211
   26    97   166
   27   539   121
   28   337   559
   29   405   284
   30   590   670
   31   196   193
   32   604   475
   33   638   519
   34   681   703
   35   702   451
   36   348   508
   37   346   352
   38   601   515
   39   281   404
   40   592   422
   41   244   353
   42   287   627
   43   268   453
   44   639   698
   45   316   465
   46   512   493
   47   538   433
   48   192   381
   49   673   745
   50   696   342
   51   298   453
   52   446   281
   53   273   363
   54   100   159
   55   163   316
   56   629   669
   57   239   318
   58   400   328
   59    95   285
   60   386   377
   61   190   212
   62   294   246
   63   414   327
   64   650   453
   65   488   305
   66   256   466
   67   389   403
   68   754   553
   69   286   543
   70   372   424
   71   173   225
   72   601   334
   73   577   366
   74   198   334
   75   296   215
   76   567   692
   77   367   395
   78   557   625
   79   350   403
   80   316   486
   81   513    27
   82   703   591
   83   453   367
   84   338   389
   85   304   490
   86   507    78
   87   284   475
   88   611   392
   89   360   327
   90   400   424
   91   439   312
   92   299   502
   93   452   715
   94   644   345
   95   425   330
   96   277   369
   97   175   361
   98   531   355
   99   515    67
  100   284   546
  101   554   348
  102   458   376
  103   321   241
  104   201   313
  105   527   526
  106   306   348
  107   752   575
  108   338   306
  109   471   368
  110   184   373
  111   524   373
  112   363   419
  113   631   408
  114   509   724
  115   299   467
  116   175   226
  117   476   665
  118   727   576
  119   341   404
  120   470   206
  121   593   651
  122   267   513
  123   556   240
  124   545   263
  125   300   496
  126   675   613
  127   514   687
  128   177   343
  129   517   347
  130   479   376
  131   672   529
  132   377   462
  133   364   549
  134   467   261
  135   268   453
